Epoch Time (s),Vehicle State
1473861296.888355,0
1473861297.888311,0
1473861298.888274,0
1473861299.888322,0
1473861300.888325,0
1473861301.888352,0
1473861302.888389,0
1473861303.888291,0
1473861304.888354,0
1473861305.888321,0
1473861306.888296,0
1473861307.888338,0
1473861308.888302,0
1473861309.888353,0
1473861310.888297,0
1473861311.888296,0
1473861312.888345,0
1473861313.889048,0
1473861314.889325,0
1473861315.888276,0
1473861316.888331,0
1473861317.888354,0
1473861318.888268,0
1473861319.888354,0
1473861320.888287,0
1473861321.888351,0
1473861322.888282,0
1473861323.888408,0
1473861324.888347,0
1473861325.888288,0
1473861326.888304,0
1473861327.888341,0
1473861328.888304,0
1473861329.888325,0
1473861330.888327,0
1473861331.888308,0
1473861332.888341,0
1473861333.889151,0
1473861334.888300,0
1473861335.888423,0
1473861336.888325,0
1473861337.888281,0
1473861338.889356,0
1473861339.890046,0
1473861340.888307,0
1473861341.888320,0
1473861342.888342,0
1473861343.888301,0
1473861344.888333,0
1473861345.888296,0
1473861346.888297,0
1473861347.889466,0
1473861348.888284,0
1473861349.888343,0
1473861350.888319,0
1473861351.888290,0
1473861352.888303,0
1473861353.888303,0
1473861354.888309,0
1473861355.888292,0
1473861356.888321,0
1473861357.888279,0
1473861358.888299,0
1473861359.888343,0
1473861360.888294,0
1473861361.889033,0
1473861362.889989,0
1473861363.890425,0
1473861364.889230,0
1473861365.889516,0
1473861366.889041,0
1473861367.888312,0
1473861368.888327,0
1473861369.888301,0
1473861370.888428,0
1473861371.889356,0
1473861372.890352,0
1473861373.888568,0
1473861374.888314,0
1473861375.888998,0
1473861376.890040,0
1473861377.889012,0
1473861378.889079,0
1473861379.889037,0
1473861380.888385,0
1473861381.888297,0
1473861382.888330,0
1473861383.888328,0
1473861384.888332,0
1473861385.888293,0
1473861386.888303,0
1473861387.888462,0
1473861388.889498,0
1473861389.889637,0
1473861390.888294,0
1473861391.888343,0
1473861392.888295,0
1473861393.888306,0
1473861395.717424,0
1473861396.717556,0
1473861397.717435,0
1473861398.717425,0
1473861399.717422,0
1473861400.717463,0
1473861401.717458,0
1473861402.717413,0
1473861403.718327,0
1473861404.717870,0
1473861405.718350,0
1473861406.718356,0
1473861407.717389,0
1473861408.717416,0
1473861409.717553,0
1473861410.717424,0
1473861411.717448,0
1473861412.717422,0
1473861413.717437,0
1473861414.717436,0
1473861415.718358,0
1473861416.718137,0
1473861417.718794,0
1473861418.717433,0
1473861419.717440,0
1473861420.717422,0
1473861421.717468,0
1473861422.717679,0
1473861423.717421,0
1473861424.717439,0
1473861425.717459,0
1473861426.717473,0
1473861427.717421,0
1473861428.717458,0
1473861429.717417,0
1473861430.717449,0
1473861431.717423,0
1473861432.717421,0
1473861433.718000,0
1473861434.717743,0
1473861435.719321,0
1473861436.718296,0
1473861437.718861,0
1473861438.718113,0
1473861439.717634,0
1473861440.717427,0
1473861441.717400,0
1473861442.717473,0
1473861443.717416,0
1473861444.717431,0
1473861445.717437,0
1473861446.717483,0
1473861447.717420,0
1473861448.717416,0
1473861449.717407,0
1473861450.717416,0
1473861451.717434,0
1473861452.717415,0
1473861453.717407,0
1473861454.717460,0
1473861455.718890,0
1473861456.717469,0
1473861457.717419,0
1473861458.717410,0
1473861459.717422,0
1473861460.717449,0
1473861461.718054,0
1473861462.717442,0
1473861463.717426,0
1473861464.717475,0
1473861465.717412,0
1473861466.717425,0
1473861467.717429,0
1473861468.717446,0
1473861469.718258,0
1473861470.717438,0
1473861471.718427,0
1473861472.718636,0
1473861473.717435,0
1473861474.717398,0
1473861475.717412,0
1473861476.717425,0
1473861477.717419,0
1473861478.717439,0
1473861479.717443,0
1473861480.717450,0
1473861481.717469,0
1473861482.717411,0
1473861483.717544,0
1473861484.717442,0
1473861485.717431,0
1473861486.717415,0
1473861487.717420,0
1473861488.717422,0
1473861489.717467,0
1473861490.717473,0
1473861491.717476,0
1473861492.717456,0
1473861493.717447,0
1473861494.717430,0
1473861495.717636,0
1473861496.717493,0
1473861497.717439,0
1473861498.717423,0
1473861499.717633,0
1473861500.717479,0
1473861501.718044,0
1473861502.717444,0
1473861503.717395,0
1473861504.717419,0
1473861505.717434,0
1473861506.717441,0
1473861507.717421,0
1473861508.717428,0
1473861509.717418,0
1473861510.717630,0
1473861511.717415,0
1473861512.717469,0
1473861513.723172,0
1473861514.718273,0
1473861515.717420,0
1473861516.717426,0
1473861517.717478,0
1473861518.717422,0
1473861519.717563,0
1473861520.717764,0
1473861521.718324,0
1473861522.718001,0
1473861523.717451,0
1473861524.717459,0
1473861525.717419,0
1473861526.717438,0
1473861527.717461,0
1473861528.717408,0
1473861529.718819,0
1473861530.717426,0
1473861531.717481,0
1473861532.717433,0
1473861533.719433,0
1473861534.717899,0
1473861535.719208,0
1473861536.717421,0
1473861537.717455,0
1473861538.717542,0
1473861539.717493,0
1473861540.717475,0
1473861541.717415,0
1473861542.717441,0
1473861543.717431,0
1473861544.717476,0
1473861545.718141,0
1473861546.718954,0
1473861547.717442,0
1473861548.717436,0
1473861549.718888,0
1473861550.717440,0
1473861551.717473,0
1473861552.717426,0
1473861553.717412,0
1473861554.717480,0
1473861555.717756,0
1473861556.717420,0
1473861557.718339,0
1473861558.717483,0
1473861559.717447,0
1473861560.717488,0
