Epoch Time (s),VP State,Steering Control Mode,Thrust Control Mode,Control Plan State,Alarm ID,Alarm Message,Alarm State,Event ID,Event Message
1473956166.408541,5,0,0,0,,,,,
1473956167.408907,5,0,0,0,,,,,
1473956168.408632,5,0,0,0,,,,,
1473956169.408711,5,0,0,0,,,,,
1473956170.408578,5,0,0,0,,,,,
1473956171.408737,5,0,0,0,,,,,
1473956172.408925,5,0,0,0,,,,,
1473956173.408539,5,0,0,0,,,,,
1473956174.408673,5,0,0,0,,,,,
1473956175.409090,5,0,0,0,,,,,
1473956176.114688,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956176.147405,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956176.408530,5,0,0,0,,,,,
1473956177.408695,5,0,0,0,,,,,
1473956178.408599,5,0,0,0,,,,,
1473956179.409132,5,0,0,0,,,,,
1473956180.408542,5,0,0,0,,,,,
1473956181.408567,5,0,0,0,,,,,
1473956182.408587,5,0,0,0,,,,,
1473956183.410353,5,0,0,0,,,,,
1473956184.409110,5,0,0,0,,,,,
1473956185.408695,5,0,0,0,,,,,
1473956186.408827,5,0,0,0,,,,,
1473956187.408534,5,0,0,0,,,,,
1473956188.409089,5,0,0,0,,,,,
1473956189.408866,5,0,0,0,,,,,
1473956190.408550,5,0,0,0,,,,,
1473956191.408530,5,0,0,0,,,,,
1473956192.408991,5,0,0,0,,,,,
1473956193.408701,5,0,0,0,,,,,
1473956194.410165,5,0,0,0,,,,,
1473956195.408634,5,0,0,0,,,,,
1473956196.408895,5,0,0,0,,,,,
1473956197.408539,5,0,0,0,,,,,
1473956198.408539,5,0,0,0,,,,,
1473956199.408761,5,0,0,0,,,,,
1473956200.408625,5,0,0,0,,,,,
1473956201.408542,5,0,0,0,,,,,
1473956202.408908,5,0,0,0,,,,,
1473956203.408549,5,0,0,0,,,,,
1473956204.408638,5,0,0,0,,,,,
1473956205.410050,5,0,0,0,,,,,
1473956206.409034,5,0,0,0,,,,,
1473956207.408724,5,0,0,0,,,,,
1473956208.409175,5,0,0,0,,,,,
1473956209.410955,5,0,0,0,,,,,
1473956210.408800,5,0,0,0,,,,,
1473956211.077280,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956211.175830,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956211.409024,5,0,0,0,,,,,
1473956212.409374,5,0,0,0,,,,,
1473956213.177691,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956213.409191,5,0,0,0,,,,,
1473956214.078503,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956214.408539,5,0,0,0,,,,,
1473956215.408536,5,0,0,0,,,,,
1473956216.408531,5,0,0,0,,,,,
1473956217.408931,5,0,0,0,,,,,
1473956218.409418,5,0,0,0,,,,,
1473956219.408659,5,0,0,0,,,,,
1473956220.408899,5,0,0,0,,,,,
1473956221.408823,5,0,0,0,,,,,
1473956222.408540,5,0,0,0,,,,,
1473956223.080850,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956223.410503,5,0,0,0,,,,,
1473956224.078839,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956224.410949,5,0,0,0,,,,,
1473956225.408546,5,0,0,0,,,,,
1473956226.408806,5,0,0,0,,,,,
1473956227.408537,5,0,0,0,,,,,
1473956228.408531,5,0,0,0,,,,,
1473956229.408533,5,0,0,0,,,,,
1473956230.408953,5,0,0,0,,,,,
1473956231.408544,5,0,0,0,,,,,
1473956232.410004,5,0,0,0,,,,,
1473956233.408543,5,0,0,0,,,,,
1473956234.409140,5,0,0,0,,,,,
1473956235.409503,5,0,0,0,,,,,
1473956236.409275,5,0,0,0,,,,,
1473956237.408881,5,0,0,0,,,,,
1473956238.408537,5,0,0,0,,,,,
1473956239.408559,5,0,0,0,,,,,
1473956240.409002,5,0,0,0,,,,,
1473956241.409010,5,0,0,0,,,,,
1473956242.410248,5,0,0,0,,,,,
1473956243.408538,5,0,0,0,,,,,
1473956244.411553,5,0,0,0,,,,,
1473956245.412286,5,0,0,0,,,,,
1473956246.410851,5,0,0,0,,,,,
1473956247.408530,5,0,0,0,,,,,
1473956248.409902,5,0,0,0,,,,,
1473956249.408531,5,0,0,0,,,,,
1473956250.409192,5,0,0,0,,,,,
1473956251.408539,5,0,0,0,,,,,
1473956252.076647,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956252.116602,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956252.408557,5,0,0,0,,,,,
1473956253.408595,5,0,0,0,,,,,
1473956254.116427,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956254.408956,5,0,0,0,,,,,
1473956255.075828,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956255.408536,5,0,0,0,,,,,
1473956256.411553,5,0,0,0,,,,,
1473956257.074949,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956257.096154,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956257.408549,5,0,0,0,,,,,
1473956258.408535,5,0,0,0,,,,,
1473956259.408550,5,0,0,0,,,,,
1473956260.409293,5,0,0,0,,,,,
1473956261.408572,5,0,0,0,,,,,
1473956262.408535,5,0,0,0,,,,,
1473956263.408594,5,0,0,0,,,,,
1473956264.408740,5,0,0,0,,,,,
1473956265.408532,5,0,0,0,,,,,
1473956266.408662,5,0,0,0,,,,,
1473956267.408535,5,0,0,0,,,,,
1473956268.410740,5,0,0,0,,,,,
1473956269.408530,5,0,0,0,,,,,
1473956270.408552,5,0,0,0,,,,,
1473956271.408546,5,0,0,0,,,,,
1473956272.408539,5,0,0,0,,,,,
1473956273.408704,5,0,0,0,,,,,
1473956274.408538,5,0,0,0,,,,,
1473956275.411052,5,0,0,0,,,,,
1473956276.408745,5,0,0,0,,,,,
1473956277.409240,5,0,0,0,,,,,
1473956278.410437,5,0,0,0,,,,,
1473956279.408531,5,0,0,0,,,,,
1473956280.408529,5,0,0,0,,,,,
1473956281.408535,5,0,0,0,,,,,
1473956282.408554,5,0,0,0,,,,,
1473956283.084136,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956283.084822,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956283.408545,5,0,0,0,,,,,
1473956284.408534,5,0,0,0,,,,,
1473956285.408550,5,0,0,0,,,,,
1473956286.410290,5,0,0,0,,,,,
1473956287.409303,5,0,0,0,,,,,
